"","cam","Folder","total.time","nobs"
"1","MVC202F-2713","Moultrie",2.31277777777778,2
"2","MVC202F-2713","Reconyx",2.28083333333333,2
"3","MVC202F-3539","Moultrie",0.0208333333333333,2
"4","MVC202F-3539","Reconyx",0.005,1
"5","MVC205F-1709","Moultrie",324.120833333333,53
"6","MVC205F-2139","Reconyx",348.359722222222,2
"7","MVC205F-2305","Moultrie",29.6686111111111,13
"8","MVC205F-2305","Reconyx",29.6736111111111,13
"9","MVC205F-729","Moultrie",31.2775,13
"10","MVC207F-646","Moultrie",23.4791666666667,7
"11","MVC223F-106","Moultrie",17.2316666666667,7
"12","MVC223F-106","Reconyx",22.4930555555556,6
"13","MVC227F-3529","Reconyx",439.463611111111,12
"14","MVC227F-4361","Moultrie",24.2219444444444,2
"15","MVC227F-4361","Reconyx",0.0319444444444444,1
"16","MVC228F-2274","Reconyx",0,1
"17","MVC230F-060-09-10C","Reconyx",170.468611111111,8
"18","MVC230F-2423","Moultrie",53.8186111111111,3
"19","MVC230F-2423","Reconyx",53.8266666666667,3
"20","MVC233F-356-04-20C","Reconyx",290.851666666667,38
"21","MVC234M-022-14-40C","Reconyx",0.131666666666667,1
"22","MVC235M-041-05-30C","Reconyx",39.7525,2
"23","MVC235M-055-15-20C","Reconyx",0.0688888888888889,1
"24","MVC236F-034-03-20C","Reconyx",125.302222222222,6
"25","MVC236F-041-09-20C","Reconyx",54.7886111111111,15
"26","MVC236F-071-22-10C","Reconyx",58.8866666666667,14
"27","MVC237M-060-16-10C","Reconyx",242.004722222222,42
"28","MVC206F-1504","Moultrie",0.0441666666666667,1
"29","MVC206F-1504","Reconyx",0.0525,1
"30","NEC107F-669","Moultrie",0,1
"31","NEC110F-1469","Reconyx",24.585,5
"32","NEC113F-1248","Reconyx",75.1322222222222,16
"33","NEC113F-3329","Moultrie",0.820555555555556,2
"34","NEC113F-3329","Reconyx",0.835,2
"35","NEC116F-1056","Moultrie",46.2405555555556,9
"36","NEC116F-1056","Reconyx",46.2780555555556,10
"37","NEC116F-641","Reconyx",21.96,4
"38","NEC118M-1135","Reconyx",198.631111111111,10
"39","NEC122M-2028","Moultrie",0.111666666666667,1
"40","NEC122M-2028","Reconyx",0.115,2
"41","NEC122M-769","Reconyx",0.0113888888888889,1
"42","NEC140M-1752","Moultrie",12.8336111111111,7
"43","NEC140M-1752","Reconyx",4.82944444444444,3
"44","NEC140M-369","Moultrie",35.8875,2
"45","NEC140M-369","Reconyx",35.8752777777778,2
"46","NEC141M-1267","Reconyx",8.09055555555556,3
"47","NEC144M-1507","Reconyx",0.0144444444444444,1
"48","NEC144M-342","Moultrie",101.104166666667,160
"49","NEC144M-342","Reconyx",27.6986111111111,32
"50","NEC145M-1257","Moultrie",538.11,2
"51","NEC145M-1257","Reconyx",559.663055555556,3
"52","MVC228F-2274","Moultrie",0,0
"53","NEC144M-1507","Moultrie",0,0
"54","MVC202F-2588","Moultrie",0,0
"55","MVC202F-2588","Reconyx",0,0
"56","MVC202F-3281","Reconyx",0,0
"57","MVC202F-733","Moultrie",0,0
"58","MVC202F-960","Moultrie",0,0
"59","MVC205F-1019","Moultrie",0,0
"60","MVC205F-987","Moultrie",0,0
"61","MVC223F-390","Moultrie",0,0
"62","MVC223F-390","Reconyx",0,0
"63","MVC235M-030-08-10C","Reconyx",0,0
"64","MVC235M-033-10-30C","Reconyx",0,0
"65","NEC103F-522","Moultrie",0,0
"66","NEC103F-522","Reconyx",0,0
"67","NEC103F-626","Moultrie",0,0
"68","NEC103F-626","Reconyx",0,0
"69","NEC103F-634","Reconyx",0,0
"70","NEC108M-2031","Moultrie",0,0
"71","NEC108M-2031","Reconyx",0,0
"72","NEC141M-351","Moultrie",0,0
"73","NEC141M-351","Reconyx",0,0
"74","NEC144M-1321","Reconyx",0,0
"75","NEC144M-1408","Moultrie",0,0
"76","NEC144M-1408","Reconyx",0,0
